carrier,flight_number,from city,gate,status,scheduled_time,updated_time
American Airlines,2285,Orange County| CA,Term T3 - K8,In Air,2020-07-23 13:15:00,2020-07-23 13:00:00
Alaska Airlines,4483,Orange County| CA,Term T3 - K8,In Air,2020-07-23 13:15:00,2020-07-23 13:00:00
British Airways,5426,Orange County| CA,Term T3 - K8,In Air,2020-07-23 13:15:00,2020-07-23 13:00:00
WestJet Airlines,6532,New York| NY,Term 2 - E16,Scheduled,2020-07-23 13:15:00,2020-07-23 12:53:00
Air New Zealand,2072,Nashville| TN,Term 1 - B20,Scheduled,2020-07-23 13:16:00,2020-07-23 13:16:00
Scandinavian Airlines,3970,Nashville| TN,Term 1 - B20,Scheduled,2020-07-23 13:16:00,2020-07-23 13:16:00
Austrian Airlines,7722,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
United Airlines,5138,Paducah| KY,Term 2 - E6,Scheduled,2020-07-23 13:18:00,2020-07-23 13:18:00
United Airlines,3446,Washington| DC,Term 1 - C28,Scheduled,2020-07-23 13:19:00,2020-07-23 13:19:00
LOT Polish Airlines,4410,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
Aer Lingus,6222,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
Scandinavian Airlines,8820,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
United Airlines,2807,London,Term 1 - B17,In Air,2020-07-23 13:25:00,2020-07-23 12:37:00
United Airlines,882,Tokyo,INTL,In Air,2020-07-23 13:40:00,2020-07-23 12:48:00
Qatar Airways,725,Doha,Term 5,In Air,2020-07-23 13:45:00,2020-07-23 13:17:00
Malaysia Airlines,9073,Doha,Term 5,In Air,2020-07-23 13:45:00,2020-07-23 13:17:00
American Airlines,3219,Baltimore| MD,Term T3 - G3,Scheduled,2020-07-23 13:51:00,2020-07-23 13:51:00
American Airlines,3556,Jacksonville| FL,Term T3 - L23,Delayed,2020-07-23 13:52:00,2020-07-23 15:16:00
Alaska Airlines,4573,Jacksonville| FL,Term T3 - L23,Delayed,2020-07-23 13:52:00,2020-07-23 15:16:00
American Airlines,985,Washington| DC,Term T3 - K20,Scheduled,2020-07-23 13:53:00,2020-07-23 13:53:00
